Symbol,Nasdaq Traded,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
A,True,"Agilent Technologies, Inc. Common Stock",N, ,False,100.0,False,,A,A,False
AA,True,Alcoa Corporation Common Stock ,N, ,False,100.0,False,,AA,AA,False
AABA,True,Altaba Inc. - Common Stock,Q,Q,False,100.0,False,N,,AABA,False
AAC,True,"AAC Holdings, Inc. Common Stock",N, ,False,100.0,False,,AAC,AAC,False
AADR,True,AdvisorShares Dorsey Wright ADR ETF,P, ,True,100.0,False,,AADR,AADR,False
AAL,True,"American Airlines Group, Inc. - Common Stock",Q,Q,False,100.0,False,N,,AAL,False
AAMC,True,Altisource Asset Management Corp Com,A, ,False,100.0,False,,AAMC,AAMC,False
AAME,True,Atlantic American Corporation - Common Stock,Q,G,False,100.0,False,N,,AAME,False
AAN,True,"Aaron's, Inc. Common Stock",N, ,False,100.0,False,,AAN,AAN,False
AAOI,True,"Applied Optoelectronics, Inc. - Common Stock",Q,G,False,100.0,False,N,,AAOI,False
AAON,True,"AAON, Inc. - Common Stock",Q,Q,False,100.0,False,N,,AAON,False
AAP,True,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,False,100.0,False,,AAP,AAP,False
AAPL,True,Apple Inc. - Common Stock,Q,Q,False,100.0,False,N,,AAPL,False
AAT,True,"American Assets Trust, Inc. Common Stock",N, ,False,100.0,False,,AAT,AAT,False
AAU,True,"Almaden Minerals, Ltd. Common Shares",A, ,False,100.0,False,,AAU,AAU,False
AAV,True,Advantage Oil & Gas Ltd  Ordinary Shares,N, ,False,100.0,False,,AAV,AAV,False
AAWW,True,Atlas Air Worldwide Holdings - Common Stock,Q,Q,False,100.0,False,N,,AAWW,False
AAXJ,True,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,True,100.0,False,N,,AAXJ,False
AAXN,True,"Axon Enterprise, Inc. - Common Stock",Q,Q,False,100.0,False,N,,AAXN,False
AB,True,AllianceBernstein Holding L.P.  Units,N, ,False,100.0,False,,AB,AB,False
ABAC,True,"Renmin Tianli Group, Inc. - Common Shares",Q,S,False,100.0,False,N,,ABAC,False
ABAX,True,"ABAXIS, Inc. - Common Stock",Q,Q,False,100.0,False,N,,ABAX,False
ABB,True,ABB Ltd Common Stock,N, ,False,100.0,False,,ABB,ABB,False
ABBV,True,AbbVie Inc. Common Stock,N, ,False,100.0,False,,ABBV,ABBV,False
ABC,True,AmerisourceBergen Corporation Common Stock,N, ,False,100.0,False,,ABC,ABC,False
ABCB,True,Ameris Bancorp - Common Stock,Q,Q,False,100.0,False,N,,ABCB,False
ABCD,True,"Cambium Learning Group, Inc. - Common Stock",Q,S,False,100.0,False,N,,ABCD,False
ABDC,True,Alcentra Capital Corp. - Common Stock,Q,Q,False,100.0,False,N,,ABDC,False
ABE,True,"Aberdeen Emerging Markets Company Oppotunities Fund, Inc. Common Stock",A, ,False,100.0,False,,ABE,ABE,False
ABEO,True,Abeona Therapeutics Inc. - Common Stock,Q,S,False,100.0,False,N,,ABEO,False
ABEOW,True,Abeona Therapeutics Inc. - Warrant,Q,S,False,100.0,False,N,,ABEOW,False
ABEV,True,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,False,100.0,False,,ABEV,ABEV,False
ABG,True,Asbury Automotive Group Inc Common Stock,N, ,False,100.0,False,,ABG,ABG,False
ABIL,True,Ability Inc. - Ordinary Shares,Q,S,False,100.0,False,D,,ABIL,False
ABIO,True,"ARCA biopharma, Inc. - Common Stock",Q,S,False,100.0,False,N,,ABIO,False
ABLX,True,Ablynx NV - American Depositary Shares,Q,Q,False,100.0,False,N,,ABLX,False
ABM,True,ABM Industries Incorporated Common Stock,N, ,False,100.0,False,,ABM,ABM,False
ABMD,True,"ABIOMED, Inc. - Common Stock",Q,Q,False,100.0,False,N,,ABMD,False
ABR,True,Arbor Realty Trust Common Stock,N, ,False,100.0,False,,ABR,ABR,False
ABR$A,True,Arbor Realty Trust Preferred Series A,N, ,False,100.0,False,,ABRpA,ABR-A,False
ABR$B,True,Arbor Realty Trust Cumulative Redeemable Preferred Series B,N, ,False,100.0,False,,ABRpB,ABR-B,False
ABR$C,True,Arbor Realty Trust Cumulative Redeemable Preferred Series C,N, ,False,100.0,False,,ABRpC,ABR-C,False
ABRN,True,Arbor Realty Trust 7.375% Senior Notes due 2021,N, ,False,100.0,False,,ABRN.CL,ABRN*,False
ABT,True,Abbott Laboratories Common Stock,N, ,False,100.0,False,,ABT,ABT,False
ABTX,True,"Allegiance Bancshares, Inc. - Common Stock",Q,G,False,100.0,False,N,,ABTX,False
ABUS,True,Arbutus Biopharma Corporation - Common Stock,Q,Q,False,100.0,False,N,,ABUS,False
ABX,True,Barrick Gold Corporation Common Stock,N, ,False,100.0,False,,ABX,ABX,False
AC,True,"Associated Capital Group, Inc. Common Stock",N, ,False,100.0,False,,AC,AC,False
ACAD,True,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,False,100.0,False,N,,ACAD,False
ACBI,True,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,Q,False,100.0,False,N,,ACBI,False
ACC,True,American Campus Communities Inc Common Stock,N, ,False,100.0,False,,ACC,ACC,False
ACCO,True,Acco Brands Corporation Common Stock,N, ,False,100.0,False,,ACCO,ACCO,False
ACER,True,Acer Therapeutics Inc. - Common Stock,Q,S,False,100.0,False,N,,ACER,False
ACERW,True,Acer Therapeutics Inc. - Warrant,Q,S,False,100.0,False,N,,ACERW,False
ACET,True,Aceto Corporation - Common Stock,Q,Q,False,100.0,False,N,,ACET,False
ACFC,True,Atlantic Coast Financial Corporation - Common Stock,Q,G,False,100.0,False,N,,ACFC,False
ACGL,True,Arch Capital Group Ltd. - Common Stock,Q,Q,False,100.0,False,N,,ACGL,False
